"AphiaID";"ScientificName";"Name";"Rank";"Authority";"Kingdom";"Phylum";"ParentID";"url"
110316;"Prorocentrum triestinum";"Prorocentrum triestinum";"Species";"J.Schiller, 1918";"Chromista";"Myzozoa";109566;"http://marinespecies.org/aphia.php?p=taxdetails&id=110316"
232376;"Prorocentrum cordatum";"Prorocentrum cordatum";"Species";"(Ostenfeld) J.D.Dodge, 1975";"Chromista";"Myzozoa";109566;"http://marinespecies.org/aphia.php?p=taxdetails&id=232376"
232546;"Akashiwo sanguinea";"Akashiwo sanguinea";"Species";"(K.Hirasaka) Gert Hansen & Moestrup, 2000";"Chromista";"Myzozoa";231787;"http://marinespecies.org/aphia.php?p=taxdetails&id=232546"
109714;"Alexandrium tamarense";"Alexandrium tamarense";"Species";"(Lebour) Balech, 1995";"Chromista";"Myzozoa";109470;"http://marinespecies.org/aphia.php?p=taxdetails&id=109714"
841260;"Tripos macroceros";"Tripos macroceros";"Species";"(Ehrenberg) F.Gómez, 2013";"Chromista";"Myzozoa";494057;"http://marinespecies.org/aphia.php?p=taxdetails&id=841260"
178185;"Chaetoceros peruvianus";"Chaetoceros peruvianus";"Species";"Brightwell, 1856";"Chromista";"Ochrophyta";148985;"http://marinespecies.org/aphia.php?p=taxdetails&id=178185"
233024;"Karenia mikimotoi";"Karenia mikimotoi";"Species";"(Miyake & Kominami ex Oda) Gert Hansen & Moestrup, 2000";"Chromista";"Myzozoa";231788;"http://marinespecies.org/aphia.php?p=taxdetails&id=233024"
156632;"Coscinodiscus wailesii";"Coscinodiscus wailesii";"Species";"Gran & Angst, 1931";"Chromista";"Ochrophyta";148917;"http://marinespecies.org/aphia.php?p=taxdetails&id=156632"
148941;"Ethmodiscus punctiger";"Ethmodiscus punctiger";"Species";"Castracane, 1886";"Chromista";"Ochrophyta";148940;"http://marinespecies.org/aphia.php?p=taxdetails&id=148941"
233369;"Peridiniella danica";"Peridiniella danica";"Species";"(Paulsen) Y.B.Okolodkov & J.D.Dodge, 1995";"Chromista";"Myzozoa";109543;"http://marinespecies.org/aphia.php?p=taxdetails&id=233369"
531445;"Pseudochattonella";"Pseudochattonella";"Genus";"(Y.Hara & Chihara) Hosoi-Tanabe, Honda, Fukaya, Inagaki & Sako, 2007";"Chromista";"Ochrophyta";368900;"http://marinespecies.org/aphia.php?p=taxdetails&id=531445"
841182;"Tripos arietinus";"Tripos arietinus";"Species";"(Cleve) F.Gómez, 2013";"Chromista";"Myzozoa";494057;"http://marinespecies.org/aphia.php?p=taxdetails&id=841182"
345481;"Lepidodinium chlorophorum";"Lepidodinium chlorophorum";"Species";"(M.Elbrächter & E.Schnepf) Gert Hansen, Botes & Salas, 2007";"Chromista";"Myzozoa";231790;"http://marinespecies.org/aphia.php?p=taxdetails&id=345481"
110156;"Peridiniella catenata";"Peridiniella catenata";"Species";"(Levander) Balech, 1977";"Chromista";"Myzozoa";109543;"http://marinespecies.org/aphia.php?p=taxdetails&id=110156"
110301;"Prorocentrum lima";"Prorocentrum lima";"Species";"(Ehrenberg) F.Stein, 1878";"Chromista";"Myzozoa";109566;"http://marinespecies.org/aphia.php?p=taxdetails&id=110301"
149119;"Bacteriastrum hyalinum";"Bacteriastrum hyalinum";"Species";"Lauder, 1864";"Chromista";"Ochrophyta";149118;"http://marinespecies.org/aphia.php?p=taxdetails&id=149119"
